Date,Video,Video title,Views,Total Views
2021-08-16, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-17, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-18, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-19, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-20, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-21, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-22, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-23, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-24, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-25, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-26, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-27, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-28, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-29, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-30, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-08-31, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-09-01, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-09-02, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-09-03, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-09-04, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-09-05, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-09-06, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-09-07, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-09-08, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-09-09, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
2021-09-10, -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,0
