Video,Video title,Day,Publish Date,Publish Month,Total Views,Average Total Views
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,0,2021-10-02,October,0,0.0
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,1,2021-10-02,October,2,9.04
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,2,2021-10-02,October,12,19.32
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,3,2021-10-02,October,19,27.84
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,4,2021-10-02,October,30,34.6
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,5,2021-10-02,October,32,40.708333333333336
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,6,2021-10-02,October,35,47.208333333333336
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,7,2021-10-02,October,39,52.30434782608695
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,8,2021-10-02,October,44,58.91304347826087
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,9,2021-10-02,October,48,66.21739130434783
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,10,2021-10-02,October,52,72.5
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,11,2021-10-02,October,61,76.13636363636364
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,12,2021-10-02,October,69,81.0
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,13,2021-10-02,October,70,85.61904761904762
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,14,2021-10-02,October,71,89.0
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,15,2021-10-02,October,80,93.1
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,16,2021-10-02,October,80,95.8
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,17,2021-10-02,October,86,97.89473684210526
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,18,2021-10-02,October,91,99.89473684210526
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,19,2021-10-02,October,92,101.3157894736842
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,20,2021-10-02,October,93,103.83333333333333
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,21,2021-10-02,October,95,107.05882352941177
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,22,2021-10-02,October,98,108.29411764705883
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,23,2021-10-02,October,99,108.88235294117646
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,24,2021-10-02,October,100,111.25
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,25,2021-10-02,October,102,112.0625
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,26,2021-10-02,October,103,112.75
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,27,2021-10-02,October,104,113.6
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,28,2021-10-02,October,104,114.26666666666667
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,29,2021-10-02,October,104,117.57142857142857
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,30,2021-10-02,October,104,117.78571428571429
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,31,2021-10-02,October,104,118.21428571428571
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,32,2021-10-02,October,104,118.71428571428571
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,33,2021-10-02,October,104,118.92857142857143
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,34,2021-10-02,October,104,119.42857142857143
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,35,2021-10-02,October,104,119.92857142857143
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,36,2021-10-02,October,104,120.42857142857143
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,37,2021-10-02,October,106,120.71428571428571
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,38,2021-10-02,October,108,123.3076923076923
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,39,2021-10-02,October,109,123.76923076923077
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,40,2021-10-02,October,109,123.33333333333333
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,41,2021-10-02,October,109,123.5
 -H7kuKm0DJs,COMP 4304 / 6934 Lecture 12,42,2021-10-02,October,109,123.75
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,0,2021-10-31,October,0,0.0
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,1,2021-10-31,October,12,9.04
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,2,2021-10-31,October,18,19.32
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,3,2021-10-31,October,23,27.84
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,4,2021-10-31,October,33,34.6
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,5,2021-10-31,October,42,40.708333333333336
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,6,2021-10-31,October,45,47.208333333333336
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,7,2021-10-31,October,51,52.30434782608695
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,8,2021-10-31,October,63,58.91304347826087
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,9,2021-10-31,October,87,66.21739130434783
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,10,2021-10-31,October,90,72.5
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,11,2021-10-31,October,91,76.13636363636364
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,12,2021-10-31,October,93,81.0
68CftRsLmkU,COMP 4304 / 6934 Lecture 21,13,2021-10-31,October,93,85.61904761904762
6cwvuFnabd4,COMP 4304 / 6934 Lecture 24,0,2021-11-07,November,0,0.0
6cwvuFnabd4,COMP 4304 / 6934 Lecture 24,1,2021-11-07,November,11,9.04
6cwvuFnabd4,COMP 4304 / 6934 Lecture 24,2,2021-11-07,November,24,19.32
6cwvuFnabd4,COMP 4304 / 6934 Lecture 24,3,2021-11-07,November,32,27.84
6cwvuFnabd4,COMP 4304 / 6934 Lecture 24,4,2021-11-07,November,36,34.6
6cwvuFnabd4,COMP 4304 / 6934 Lecture 24,5,2021-11-07,November,47,40.708333333333336
6cwvuFnabd4,COMP 4304 / 6934 Lecture 24,6,2021-11-07,November,52,47.208333333333336
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,0,2021-10-24,October,0,0.0
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,1,2021-10-24,October,17,9.04
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,2,2021-10-24,October,19,19.32
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,3,2021-10-24,October,24,27.84
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,4,2021-10-24,October,25,34.6
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,5,2021-10-24,October,27,40.708333333333336
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,6,2021-10-24,October,27,47.208333333333336
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,7,2021-10-24,October,30,52.30434782608695
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,8,2021-10-24,October,32,58.91304347826087
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,9,2021-10-24,October,42,66.21739130434783
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,10,2021-10-24,October,43,72.5
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,11,2021-10-24,October,44,76.13636363636364
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,12,2021-10-24,October,49,81.0
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,13,2021-10-24,October,51,85.61904761904762
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,14,2021-10-24,October,56,89.0
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,15,2021-10-24,October,58,93.1
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,16,2021-10-24,October,61,95.8
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,17,2021-10-24,October,62,97.89473684210526
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,18,2021-10-24,October,62,99.89473684210526
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,19,2021-10-24,October,66,101.3157894736842
A3v5YuGse9I,COMP 4304 / 6934 Lecture 18,20,2021-10-24,October,71,103.83333333333333
Kjws9UlX6W4,COMP 4304 / 6934 Lecture 15,0,2021-10-16,October,0,0.0
Kjws9UlX6W4,COMP 4304 / 6934 Lecture 15,1,2021-10-16,October,1,9.04
Kjws9UlX6W4,COMP 4304 / 6934 Lecture 15,2,2021-10-16,October,10,19.32
