Date,nameofday,dayofweek,Total Daily Views
2021-08-16,Monday,0,0
2021-08-17,Tuesday,1,0
2021-08-18,Wednesday,2,0
2021-08-19,Thursday,3,0
2021-08-20,Friday,4,0
2021-08-21,Saturday,5,0
2021-08-22,Sunday,6,0
2021-08-23,Monday,0,0
2021-08-24,Tuesday,1,0
2021-08-25,Wednesday,2,0
2021-08-26,Thursday,3,0
2021-08-27,Friday,4,0
2021-08-28,Saturday,5,0
2021-08-29,Sunday,6,0
2021-08-30,Monday,0,0
2021-08-31,Tuesday,1,0
2021-09-01,Wednesday,2,0
2021-09-02,Thursday,3,0
2021-09-03,Friday,4,0
2021-09-04,Saturday,5,0
2021-09-05,Sunday,6,0
2021-09-06,Monday,0,0
2021-09-07,Tuesday,1,2
2021-09-08,Wednesday,2,39
2021-09-09,Thursday,3,22
2021-09-10,Friday,4,54
2021-09-11,Saturday,5,18
2021-09-12,Sunday,6,24
2021-09-13,Monday,0,58
2021-09-14,Tuesday,1,16
2021-09-15,Wednesday,2,59
2021-09-16,Thursday,3,33
2021-09-17,Friday,4,31
2021-09-18,Saturday,5,28
2021-09-19,Sunday,6,45
2021-09-20,Monday,0,71
2021-09-21,Tuesday,1,10
2021-09-22,Wednesday,2,38
2021-09-23,Thursday,3,19
2021-09-24,Friday,4,31
2021-09-25,Saturday,5,20
2021-09-26,Sunday,6,26
2021-09-27,Monday,0,49
2021-09-28,Tuesday,1,48
2021-09-29,Wednesday,2,86
2021-09-30,Thursday,3,22
2021-10-01,Friday,4,24
2021-10-02,Saturday,5,41
2021-10-03,Sunday,6,41
2021-10-04,Monday,0,34
2021-10-05,Tuesday,1,31
2021-10-06,Wednesday,2,83
2021-10-07,Thursday,3,30
2021-10-08,Friday,4,40
2021-10-09,Saturday,5,19
2021-10-10,Sunday,6,29
2021-10-11,Monday,0,31
2021-10-12,Tuesday,1,54
2021-10-13,Wednesday,2,67
2021-10-14,Thursday,3,86
2021-10-15,Friday,4,26
2021-10-16,Saturday,5,9
2021-10-17,Sunday,6,27
2021-10-18,Monday,0,14
2021-10-19,Tuesday,1,35
2021-10-20,Wednesday,2,43
2021-10-21,Thursday,3,31
2021-10-22,Friday,4,32
2021-10-23,Saturday,5,24
2021-10-24,Sunday,6,63
2021-10-25,Monday,0,66
2021-10-26,Tuesday,1,19
2021-10-27,Wednesday,2,23
2021-10-28,Thursday,3,28
2021-10-29,Friday,4,24
2021-10-30,Saturday,5,11
2021-10-31,Sunday,6,35
2021-11-01,Monday,0,34
2021-11-02,Tuesday,1,64
2021-11-03,Wednesday,2,43
2021-11-04,Thursday,3,46
2021-11-05,Friday,4,42
2021-11-06,Saturday,5,20
2021-11-07,Sunday,6,37
2021-11-08,Monday,0,64
2021-11-09,Tuesday,1,121
2021-11-10,Wednesday,2,60
2021-11-11,Thursday,3,16
2021-11-12,Friday,4,37
2021-11-13,Saturday,5,26
